scenario,month,active_members,paid_members,operating_revenue,funding_inflow,total_cash_out,operating_net_cash_flow,net_cash_flow_incl_funding,cumulative_cash
Conservative,1,50.0,2.0,968.0,0,2053.06,-1085.06,-1085.06,8914.94
Conservative,2,54.0,2.16,1016.94,0,2066.15,-1049.21,-1049.21,7865.73
Conservative,3,58.32,2.33,1068.37,0,2079.91,-1011.54,-1011.54,6854.18
Conservative,4,62.99,2.52,1122.42,0,2094.38,-971.96,-971.96,5882.22
Conservative,5,68.02,2.72,1179.22,0,2109.58,-930.36,-930.36,4951.86
Conservative,6,73.47,2.94,1238.92,0,2125.57,-886.65,-886.65,4065.2
Conservative,7,79.34,3.17,1301.65,0,2142.37,-840.72,-840.72,3224.49
Conservative,8,85.69,3.43,1367.59,0,2160.04,-792.45,-792.45,2432.04
Conservative,9,92.55,3.7,1436.9,0,2178.61,-741.71,-741.71,1690.33
Conservative,10,99.95,4.0,1629.74,0,2223.22,-593.48,-593.48,1096.85
Conservative,11,107.95,4.32,1709.91,0,2244.51,-534.6,-534.6,562.25
Conservative,12,116.58,4.66,1794.1,0,2266.87,-472.77,-472.77,89.48
Conservative,13,125.91,5.04,1882.52,0,2290.37,-407.85,-407.85,-318.37
Conservative,14,135.98,5.44,1975.38,0,2315.06,-339.68,-339.68,-658.06
Conservative,15,146.86,5.87,2072.92,0,2341.01,-268.1,-268.1,-926.15
Conservative,16,158.61,6.34,2175.37,0,2368.29,-192.92,-192.92,-1119.07
Conservative,17,171.3,6.85,2282.98,0,2396.95,-113.96,-113.96,-1233.04
Conservative,18,185.0,7.4,2396.03,0,4427.07,-2031.04,-2031.04,-3264.08
Conservative,19,199.8,7.99,2514.79,0,2473.87,40.92,40.92,-3223.15
Conservative,20,215.79,8.63,2639.56,0,2531.85,107.7,107.7,-3115.45
Conservative,21,233.05,9.32,2770.64,0,2592.79,177.85,177.85,-2937.6
Conservative,22,251.69,10.07,2908.36,0,2656.82,251.54,251.54,-2686.06
Conservative,23,271.83,10.87,3053.08,0,2724.12,328.96,328.96,-2357.1
Conservative,24,293.57,11.74,3205.14,0,2794.86,410.28,410.28,-1946.82
Conservative,25,317.06,12.68,3364.94,0,2869.21,495.73,495.73,-1451.09
Conservative,26,342.42,13.7,3532.87,0,2947.37,585.5,585.5,-865.58
Conservative,27,369.82,14.79,3709.37,0,3029.53,679.83,679.83,-185.75
Conservative,28,399.4,15.98,3894.86,0,3115.91,778.95,778.95,593.2
Conservative,29,431.36,17.25,4089.83,0,3206.72,883.11,883.11,1476.31
Conservative,30,465.86,18.63,4294.77,0,3302.2,992.57,992.57,2468.88
Conservative,31,503.13,20.13,4510.21,0,3402.6,1107.61,1107.61,3576.49
Conservative,32,543.38,21.74,4736.69,0,3508.17,1228.52,1228.52,4805.01
Conservative,33,586.85,23.47,4974.79,0,3619.19,1355.6,1355.6,6160.61
Conservative,34,633.8,25.35,5225.13,0,3735.95,1489.18,1489.18,7649.79
Conservative,35,684.51,27.38,5488.36,0,3858.76,1629.6,1629.6,9279.39
Conservative,36,739.27,29.57,5765.14,0,3987.93,1777.21,1777.21,11056.6
Base,1,150.0,10.5,2826.0,0,4891.37,-2065.37,-2065.37,22934.63
Base,2,172.5,12.08,3074.9,0,4963.07,-1888.17,-1888.17,21046.46
Base,3,198.37,13.89,3346.44,0,5041.66,-1695.22,-1695.22,19351.24
Base,4,228.13,15.97,3642.75,0,5127.85,-1485.09,-1485.09,17866.15
Base,5,262.35,18.36,3966.22,0,5222.38,-1256.16,-1256.16,16609.99
Base,6,301.7,21.12,4319.44,0,5326.11,-1006.67,-1006.67,15603.32
Base,7,346.96,24.29,5055.29,0,5509.61,-454.32,-454.32,15148.99
Base,8,399.0,27.93,5501.41,0,5639.48,-138.07,-138.07,15010.93
Base,9,458.85,32.12,5988.52,0,5837.74,150.79,150.79,15161.71
Base,10,527.68,36.94,6520.59,0,6095.56,425.03,425.03,15586.74
Base,11,606.83,42.48,7101.99,0,6377.88,724.11,724.11,16310.85
Base,12,697.86,48.85,7737.55,15000,11298.65,-3561.09,11438.91,27749.76
Base,13,802.54,56.18,8432.63,0,7026.08,1406.55,1406.55,29156.31
Base,14,922.92,64.6,9193.11,0,7397.66,1795.45,1795.45,30951.76
Base,15,1061.36,74.29,10025.54,0,7805.22,2220.32,2220.32,33172.08
Base,16,1220.56,85.44,10937.14,0,8252.44,2684.71,2684.71,35856.78
Base,17,1403.64,98.26,11935.93,0,8743.38,3192.55,3192.55,39049.33
Base,18,1614.19,112.99,13030.78,0,9282.59,3748.19,3748.19,42797.52
Base,19,1856.32,129.94,14231.56,0,9875.09,4356.46,4356.46,47153.98
Base,20,2134.77,149.43,15549.19,0,10526.46,5022.73,5022.73,52176.71
Base,21,2454.98,171.85,16995.83,0,11242.91,5752.93,5752.93,57929.64
Base,22,2823.23,197.63,18585.01,0,12031.34,6553.68,6553.68,64483.32
Base,23,3246.71,227.27,20331.77,0,12899.45,7432.32,7432.32,71915.64
Base,24,3733.72,261.36,22252.85,0,13855.8,8397.05,8397.05,80312.68
Base,25,4293.78,300.56,24366.92,0,14909.95,9456.97,9456.97,89769.66
Base,26,4937.84,345.65,26694.82,0,16072.55,10622.27,10622.27,100391.93
Base,27,5678.52,397.5,29259.78,0,17355.49,11904.29,11904.29,112296.22
Base,28,6530.3,457.12,32087.77,0,18772.07,13315.7,13315.7,125611.92
Base,29,7509.84,525.69,35207.82,0,20337.13,14870.68,14870.68,140482.6
Base,30,8636.32,604.54,38652.41,0,22067.32,16585.09,16585.09,157067.69
Base,31,9931.77,695.22,42457.91,0,23981.22,18476.68,18476.68,175544.37
Base,32,11421.53,799.51,46665.07,0,26099.7,20565.37,20565.37,196109.74
Base,33,13134.76,919.43,51319.58,0,28446.12,22873.46,22873.46,218983.2
Base,34,15104.97,1057.35,56472.74,0,31046.7,25426.04,25426.04,244409.24
Base,35,17370.72,1215.95,62182.13,0,33930.88,28251.25,28251.25,272660.49
Base,36,19976.33,1398.34,68512.5,0,37131.74,31380.76,31380.76,304041.25
Optimistic,1,300.0,30.0,7850.0,0,8974.65,-1124.65,-1124.65,48875.35
Optimistic,2,366.0,36.6,8785.0,0,9256.78,-471.78,-471.78,48403.57
Optimistic,3,446.52,44.65,9838.82,0,9647.95,190.87,190.87,48594.44
Optimistic,4,544.75,54.48,11027.84,0,10235.08,792.75,792.75,49387.19
Optimistic,5,664.6,66.46,13270.9,0,11267.73,2003.18,2003.18,51390.37
Optimistic,6,810.81,81.08,14879.76,0,12059.49,2820.27,2820.27,54210.64
Optimistic,7,989.19,98.92,16698.53,0,12957.5,3741.03,3741.03,57951.67
Optimistic,8,1206.81,120.68,18757.15,0,13977.12,4780.03,4780.03,62731.7
Optimistic,9,1472.31,147.23,21090.31,40000,20976.2,114.11,40114.11,102845.81
Optimistic,10,1796.22,179.62,23738.21,0,16455.37,7282.83,7282.83,110128.64
Optimistic,11,2191.39,219.14,26747.53,0,17958.63,8788.91,8788.91,118917.54
Optimistic,12,2673.5,267.35,30172.63,0,19673.84,10498.79,10498.79,129416.33
Optimistic,13,3261.66,326.17,34076.84,0,21633.5,12443.34,12443.34,141859.67
Optimistic,14,3979.23,397.92,38534.14,0,23875.5,14658.64,14658.64,156518.31
Optimistic,15,4854.66,485.47,43631.09,0,26444.11,17186.98,17186.98,173705.29
Optimistic,16,5922.69,592.27,49469.13,0,29391.14,20077.99,20077.99,193783.28
Optimistic,17,7225.68,722.57,56167.36,0,32777.34,23390.02,23390.02,217173.3
Optimistic,18,8815.33,881.53,63865.9,0,36674.03,27191.87,27191.87,244365.16
Optimistic,19,10754.7,1075.47,72729.79,0,41165.06,31564.72,31564.72,275929.88
Optimistic,20,13120.73,1312.07,82953.83,0,46349.21,36604.62,36604.62,312534.51
Optimistic,21,16007.29,1600.73,94768.29,0,52342.95,42425.34,42425.34,354959.85
Optimistic,22,19528.9,1952.89,108445.81,0,59283.92,49161.89,49161.89,404121.74
Optimistic,23,23825.25,2382.53,124309.68,0,67334.91,56974.77,56974.77,461096.5
Optimistic,24,29066.81,2906.68,142743.85,0,76688.81,66055.04,66055.04,527151.54
Optimistic,25,35461.51,3546.15,164204.97,0,87574.46,76630.51,76630.51,603782.04
Optimistic,26,43263.04,4326.3,189236.91,0,100263.73,88973.18,88973.18,692755.23
Optimistic,27,52780.91,5278.09,218488.29,0,115080.02,103408.27,103408.27,796163.5
Optimistic,28,64392.71,6439.27,252733.68,0,132408.57,120325.11,120325.11,916488.6
Optimistic,29,78559.1,7855.91,292899.16,0,152708.81,140190.35,140190.35,1056678.95
Optimistic,30,95842.11,9584.21,340093.35,0,176529.33,163564.02,163564.02,1220242.98
