"Sales summary - Summary
(12:00 AM-11:59 PM ET)",
Gross sales,$22.99
Items,$22.99
Service charges,$0.00
Returns,$0.00
Discounts & comps,$0.00
Discounts,$0.00
Comps,$0.00
Net sales,$22.99
Deferred sales,$0.00
Gift card sales,$0.00
Taxes,$0.00
Tips,$0.00
Total sales,$22.99
Total payments collected,$22.99
Card,$22.99
Fees,($3.37)
Square payment processing fees,($3.37)
Square fees,($3.37)
Net total,$19.62
Total number of sales,9
Product sales transactions,9
Item sales transactions,9
Sales transactions,9
Total sales transactions,9
Total payments collected transactions,9
