"Sales summary - Summary
(12:00 AM-11:59 PM ET)",
Gross sales,$22.00
Items,$22.00
Service charges,$0.00
Returns,($10.00)
Discounts & comps,$0.00
Discounts,$0.00
Comps,$0.00
Net sales,$12.00
Deferred sales,$0.00
Gift card sales,$0.00
Taxes,$0.00
Tips,$0.00
Total sales,$12.00
Total payments collected,$12.00
Card,$12.00
Fees,($1.84)
Square payment processing fees,($1.84)
Square fees,($1.84)
Net total,$10.16
Total number of sales,5
Product sales transactions,4
Item sales transactions,4
Itemized returns transactions,1
Sales transactions,5
Total sales transactions,4
Total payments collected transactions,5
